category,title,byline,summary,link
Finance,Coinbase Launches Derivatives Product in Crowded Market,Paul Vigna,"Coinbase just introduced a derivatives product, its latest attempt to move into a new field and offset weakness in its core spot-trading business. It has a lot of competition.",https://www.wsj.com/articles/coinbase-launches-derivatives-product-in-crowdedand-depressedmarket-11656763202?mod=Searchresults_pos1&page=1
Autos Industry,Tesla Vehicle Deliveries Tumble After China Factory Shutdown,Rebecca Elliott and Meghan Bobrowsky,"A string of record quarterly deliveries came to an end in the second quarter, when Tesla handed over 254,695 vehicles to customers. ",https://www.wsj.com/articles/tesla-vehicle-deliveries-tumble-after-china-factory-shutdown-11656779597?mod=Searchresults_pos2&page=1
Finance,Crypto’s Domino Effect Is Widening,Caitlin Ostroff and Vicky Ge Huang,Losses in the digital-assets industry are blowing holes in balance sheets and pushing firms to near bankruptcy.,https://www.wsj.com/articles/cryptos-domino-effect-is-widening-threatening-more-pain-11656754202?mod=Searchresults_pos3&page=1
Deals,Forget Flying Taxis—Down-to-Earth Companies Are Prime SPAC Targets,Will Feuer,"With deal deadlines looming, industrial, manufacturing and other staid sectors have become more appealing for special-purpose acquisition companies.",https://www.wsj.com/articles/forget-flying-taxisdown-to-earth-companies-are-now-the-prime-spac-targets-11656766980?mod=Searchresults_pos4&page=1
U.S. Markets,Stocks Finish Higher to Kick Off New Quarter,Matt Grossman and Caitlin Ostroff,U.S. stocks advanced after Wall Street notched its worst first half of the year in more than half a century.,https://www.wsj.com/articles/global-stocks-markets-dow-update-07-01-2022-11656660859?mod=Searchresults_pos5&page=1
Deals,FTX Strikes Deal With Option to Buy Crypto Lender BlockFi for Up to $240 Million,Paul Vigna and Denny Jacob,The accord with billionaire Sam Bankman-Fried’s crypto exchange also includes a $400 million revolving credit facility for BlockFi as crypto firms seek stability during a broad industry meltdown. ,https://www.wsj.com/articles/ftx-strikes-deal-with-option-to-buy-crypto-lender-blockfi-for-up-to-240-million-11656701743?mod=Searchresults_pos6&page=1
Pro Bankruptcy,Risky Borrowers Largely Dodged Bankruptcy This Year. Now the Easy Money Is Ending.,Andrew Scurria,"U.S. corporate defaults and bankruptcies stayed muted in the first five months of this year but market volatility, rising interest rates and a potential economic slowdown are making investors nervous about low-rated debt. ",https://www.wsj.com/articles/risky-borrowers-largely-dodged-bankruptcy-so-far-this-year-now-the-easy-money-is-ending-11656709790?mod=Searchresults_pos7&page=1
Markets,Wild First Half in Markets Sets Stage for More Big Moves,WSJ Graphics Staff,Charts size up what might lie ahead for businesses and the economy.,https://www.wsj.com/articles/wild-first-half-in-markets-sets-stage-for-more-big-moves-in-rest-of-2022-11656667803?mod=Searchresults_pos8&page=1
WSJ Minute Briefing,EU Proposes Broad Cryptocurrency Rules,,Also: North Korea blames Covid-19 outbreak on virus-tainted balloons sent from South Korea. Russian prosecutors charge U.S. women’s basketball star Brittney Griner with intentionally importing drugs into the country. J.R. Whalen reports.,https://www.wsj.com/podcasts/minute-briefing/eu-proposes-broad-cryptocurrency-rules/393D0EE8-E216-4AA0-B346-EB773314F206?mod=Searchresults_pos9&page=1
Markets,EU Sets First Rules to Regulate Cryptocurrencies,"Patricia Kowsmann, Caitlin Ostroff and Andrew Duehren","European Union officials agreed on rules that would regulate the crypto market in the bloc, forcing platforms to seek authorization to operate and providing safeguards to users.",https://www.wsj.com/articles/eu-sets-first-rules-to-regulate-cryptocurrencies-11656682089?mod=Searchresults_pos10&page=1
Markets,Markets Post Worst First Half of a Year in Decades,Akane Otani,"Stocks, bonds and crypto all tumbled in the first six months of the year, with commodities markets including oil about the only place that didn’t lose ground.",https://www.wsj.com/articles/markets-head-toward-worst-start-to-a-year-in-decades-11656551051?mod=Searchresults_pos11&page=1
Art & Auctions,Sotheby’s CEO on Why the Art Market Is Soaring,Kelly Crow,"From inflation to the rise of Asian collectors, Charles Stewart reveals the dynamics fueling robust auction sales.",https://www.wsj.com/articles/sothebys-ceo-interview-art-market-11656619188?mod=Searchresults_pos12&page=1
